Name1;Flag1;Name2;Flag2;Time;Live
Renegades;https://www.hltv.org/img/static/flags/30x20/AU.gif;ORDER;https://www.hltv.org/img/static/flags/30x20/AU.gif;-------------------;Live
eSuba;https://www.hltv.org/img/static/flags/30x20/SK.gif;Sampi;https://www.hltv.org/img/static/flags/30x20/CZ.gif;-------------------;Live
Pompa;https://www.hltv.org/img/static/flags/30x20/PL.gif;Spirit Academy;https://www.hltv.org/img/static/flags/30x20/CIS.gif;-------------------;Live
SKADE;https://www.hltv.org/img/static/flags/30x20/BG.gif;K23;https://www.hltv.org/img/static/flags/30x20/KZ.gif;15:00;Not Live
Unique;https://www.hltv.org/img/static/flags/30x20/RU.gif;ZJ;https://www.hltv.org/img/static/flags/30x20/EU.gif;15:00;Not Live
eXploit;https://www.hltv.org/img/static/flags/30x20/PT.gif;Rhyno;https://www.hltv.org/img/static/flags/30x20/PT.gif;16:00;Not Live
Virtus.pro;https://www.hltv.org/img/static/flags/30x20/CIS.gif;Spirit;https://www.hltv.org/img/static/flags/30x20/RU.gif;17:00;Not Live
Lemondogs;https://www.hltv.org/img/static/flags/30x20/SE.gif;Lilmix;https://www.hltv.org/img/static/flags/30x20/SE.gif;17:00;Not Live
LDLC;https://www.hltv.org/img/static/flags/30x20/FR.gif;PIXLIP;https://www.hltv.org/img/static/flags/30x20/DE.gif;17:00;Not Live
EC Brugge;https://www.hltv.org/img/static/flags/30x20/BE.gif;Sprout;https://www.hltv.org/img/static/flags/30x20/DE.gif;17:15;Not Live
sh1zlEEpeek;https://www.hltv.org/img/static/flags/30x20/PT.gif;N2E;https://www.hltv.org/img/static/flags/30x20/PT.gif;17:15;Not Live
ENCE;https://www.hltv.org/img/static/flags/30x20/EU.gif;Fiend;https://www.hltv.org/img/static/flags/30x20/BG.gif;18:00;Not Live
Nordavind;https://www.hltv.org/img/static/flags/30x20/EU.gif;Apeks;https://www.hltv.org/img/static/flags/30x20/SE.gif;18:00;Not Live
Enterprise;https://www.hltv.org/img/static/flags/30x20/CZ.gif;Entropiq Prague;https://www.hltv.org/img/static/flags/30x20/CZ.gif;18:30;Not Live
Izako Boars;https://www.hltv.org/img/static/flags/30x20/PL.gif;Illuminar;https://www.hltv.org/img/static/flags/30x20/PL.gif;19:00;Not Live
Gambit;https://www.hltv.org/img/static/flags/30x20/RU.gif;Akuma;https://www.hltv.org/img/static/flags/30x20/UA.gif;20:00;Not Live
Vinkelparty;https://www.hltv.org/img/static/flags/30x20/SE.gif;Young Ninjas;https://www.hltv.org/img/static/flags/30x20/SE.gif;20:00;Not Live
1WIN;https://www.hltv.org/img/static/flags/30x20/RU.gif;ex-Marlian;https://www.hltv.org/img/static/flags/30x20/UA.gif;20:00;Not Live
LDLC;https://www.hltv.org/img/static/flags/30x20/FR.gif;Endpoint;https://www.hltv.org/img/static/flags/30x20/GB.gif;20:30;Not Live
Copenhagen Flames;https://www.hltv.org/img/static/flags/30x20/DK.gif;AGF;https://www.hltv.org/img/static/flags/30x20/DK.gif;21:00;Not Live
Jaguares;https://www.hltv.org/img/static/flags/30x20/BR.gif;Paquetá;https://www.hltv.org/img/static/flags/30x20/BR.gif;0:00;Not Live
FURIA;https://www.hltv.org/img/static/flags/30x20/BR.gif;EXTREMUM;https://www.hltv.org/img/static/flags/30x20/OCE.gif;0:30;Not Live
Extra Salt;https://www.hltv.org/img/static/flags/30x20/NAM.gif;paiN;https://www.hltv.org/img/static/flags/30x20/BR.gif;3:30;Not Live
